"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"58.mean-1",58,38,1,3,1,100,"b.Mean","a.Cog",FALSE
"63.mean-1",63,54,1,1,1,15,"b.Mean","a.Cog",FALSE
"64.mean-1",64,35,1,3,1,50,"b.Mean","a.Cog",FALSE
"65.mean-1",65,35,1,3,2,50,"b.Mean","a.Cog",FALSE
"66.mean-1",66,10,0,5,1,100,"b.Mean","a.Cog",TRUE
"68.mean-1",68,35,0,3,2,50,"b.Mean","a.Cog",FALSE
"71.mean-1",71,35,0,1,2,100,"b.Mean","a.Cog",FALSE
"72.mean-1",72,50,0,3,2,50,"b.Mean","a.Cog",FALSE
"73.mean-1",73,43,0,1,2,25,"b.Mean","a.Cog",FALSE
"74.mean-1",74,44,1,3,2,90,"b.Mean","a.Cog",FALSE
"83.mean-1",83,25,0,3,2,50,"b.Mean","a.Cog",FALSE
"84.mean-1",84,24,0,3,2,50,"b.Mean","a.Cog",FALSE
"85.mean-1",85,24,0,3,2,10,"b.Mean","a.Cog",FALSE
"86.mean-1",86,22,0,3,2,70,"b.Mean","a.Cog",FALSE
"87.mean-1",87,25,0,3,2,50,"b.Mean","a.Cog",FALSE
"92.mean-1",92,42,1,3,2,30,"b.Mean","a.Cog",FALSE
"1.nice-4",1,71,1,1,2,0,"a.Nice","d.K.bot",FALSE
"2.nice-4",2,62,0,3,2,40,"a.Nice","d.K.bot",FALSE
"3.nice-4",3,71,1,1,1,80,"a.Nice","d.K.bot",FALSE
"4.nice-4",4,68,0,6,1,50,"a.Nice","d.K.bot",FALSE
"5.nice-4",5,48,1,1,2,30,"a.Nice","d.K.bot",FALSE
"6.nice-4",6,46,0,6,2,50,"a.Nice","d.K.bot",FALSE
"7.nice-4",7,54,0,1,2,10,"a.Nice","d.K.bot",FALSE
"8.nice-4",8,49,0,3,2,10,"a.Nice","d.K.bot",FALSE
"9.nice-4",9,48,1,3,2,30,"a.Nice","d.K.bot",FALSE
"11.nice-4",11,55,0,1,2,0,"a.Nice","d.K.bot",FALSE
"12.nice-4",12,NA,0,1,2,60,"a.Nice","d.K.bot",NA
"15.nice-4",15,31,0,3,1,20,"a.Nice","d.K.bot",FALSE
"18.nice-4",18,28,1,5,1,60,"a.Nice","d.K.bot",FALSE
"19.nice-4",19,24,0,5,2,20,"a.Nice","d.K.bot",FALSE
"20.nice-4",20,27,0,5,2,45,"a.Nice","d.K.bot",FALSE
"21.nice-4",21,27,1,5,2,60,"a.Nice","d.K.bot",FALSE
"22.nice-4",22,25,1,6,2,10,"a.Nice","d.K.bot",FALSE
"23.nice-4",23,23,1,3,1,55,"a.Nice","d.K.bot",FALSE
"26.nice-4",26,26,NA,3,2,0,"a.Nice","d.K.bot",FALSE
"27.nice-4",27,31,1,5,2,85,"a.Nice","d.K.bot",FALSE
"28.nice-4",28,25,0,5,2,10,"a.Nice","d.K.bot",FALSE
"29.nice-4",29,24,1,5,1,30,"a.Nice","d.K.bot",FALSE
"30.nice-4",30,24,0,5,2,20,"a.Nice","d.K.bot",FALSE
"31.nice-4",31,26,0,5,1,25,"a.Nice","d.K.bot",FALSE
"32.nice-4",32,22,0,2,1,50,"a.Nice","d.K.bot",FALSE
"43.nice-4",43,22,0,5,2,5,"a.Nice","d.K.bot",FALSE
"44.nice-4",44,24,0,5,2,0,"a.Nice","d.K.bot",FALSE
"45.nice-4",45,26,0,5,1,0,"a.Nice","d.K.bot",FALSE
"58.nice-4",58,38,1,3,1,0,"a.Nice","d.K.bot",FALSE
"63.nice-4",63,54,1,1,1,15,"a.Nice","d.K.bot",FALSE
"64.nice-4",64,35,1,3,1,40,"a.Nice","d.K.bot",FALSE
"65.nice-4",65,35,1,3,2,100,"a.Nice","d.K.bot",FALSE
"66.nice-4",66,10,0,5,1,0,"a.Nice","d.K.bot",TRUE
"68.nice-4",68,35,0,3,2,50,"a.Nice","d.K.bot",FALSE
"71.nice-4",71,35,0,1,2,100,"a.Nice","d.K.bot",FALSE
"72.nice-4",72,50,0,3,2,50,"a.Nice","d.K.bot",FALSE
"73.nice-4",73,43,0,1,2,10,"a.Nice","d.K.bot",FALSE
"74.nice-4",74,44,1,3,2,60,"a.Nice","d.K.bot",FALSE
"83.nice-4",83,25,0,3,2,70,"a.Nice","d.K.bot",FALSE
"84.nice-4",84,24,0,3,2,0,"a.Nice","d.K.bot",FALSE
"85.nice-4",85,24,0,3,2,1,"a.Nice","d.K.bot",FALSE
