"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"4.d.K.bot",4,"F",32,0.25,"N","d.K.bot",-55,0,FALSE
"5.d.K.bot",5,"M",44,0,"N","d.K.bot",-35,1,FALSE
"6.d.K.bot",6,"M",45,0,"N","d.K.bot",-12,1,FALSE
"7.d.K.bot",7,"F",26,0,"N","d.K.bot",-28,0,FALSE
"8.d.K.bot",8,"F",61,0,"N","d.K.bot",-13,0,FALSE
"9.d.K.bot",9,"M",13,10,"N","d.K.bot",-70,1,TRUE
"10.d.K.bot",10,"F",44,0,"N","d.K.bot",-38,0,FALSE
"18.d.K.bot",18,"F",12,0,"N","d.K.bot",-44,0,TRUE
"19.d.K.bot",19,"M",21,25,"N","d.K.bot",-25,1,FALSE
"20.d.K.bot",20,"F",66,0,"N","d.K.bot",66,0,FALSE
"21.d.K.bot",21,"F",47,0,"N","d.K.bot",-46,0,FALSE
"24.d.K.bot",24,"F",13,3.5,"N","d.K.bot",-42,0,TRUE
"25.d.K.bot",25,"M",46,0,"N","d.K.bot",17,1,FALSE
"26.d.K.bot",26,"F",46,0,"N","d.K.bot",-5,0,FALSE
"29.d.K.bot",29,"F",35,0,"N","d.K.bot",-27,0,FALSE
"30.d.K.bot",30,"M",48,0,"N","d.K.bot",-19,1,FALSE
"31.d.K.bot",31,"F",41,0,"N","d.K.bot",-28,0,FALSE
"32.d.K.bot",32,"M",44,0,"N","d.K.bot",4,1,FALSE
"34.d.K.bot",34,"M",46,0,"N","d.K.bot",26,1,FALSE
"35.d.K.bot",35,"F",52,0,"N","d.K.bot",-22,0,FALSE
"36.d.K.bot",36,"F",43,0,"N","d.K.bot",-68,0,FALSE
"38.d.K.bot",38,"F",69,0,"N","d.K.bot",46,0,FALSE
"39.d.K.bot",39,"M",76,0,"N","d.K.bot",-58,1,FALSE
"41.d.K.bot",41,"M",33,0.5,"N","d.K.bot",-47,1,FALSE
"42.d.K.bot",42,"M",14,12,"N","d.K.bot",-11,1,TRUE
"44.d.K.bot",44,"F",46,0,"N","d.K.bot",-73,0,FALSE
"45.d.K.bot",45,"F",46,0,"N","d.K.bot",-7,0,FALSE
"46.d.K.bot",46,"F",12,0,"N","d.K.bot",-55,0,TRUE
"47.d.K.bot",47,"M",54,0,"N","d.K.bot",-56,1,FALSE
"48.d.K.bot",48,"F",47,0,"N","d.K.bot",-9,0,FALSE
"50.d.K.bot",50,"M",14,10,"N","d.K.bot",-32,1,TRUE
"51.d.K.bot",51,"M",11,1,"N","d.K.bot",-69,1,TRUE
"52.d.K.bot",52,"F",13,3,"N","d.K.bot",63,0,TRUE
"2.d.K.bot",2,"F",52,0,"Y","d.K.bot",-50,0,FALSE
"11.d.K.bot",11,"F",13,0,"Y","d.K.bot",-62,0,TRUE
